offset,radius,height,variant,auc,med_free,med_clash
-4.0,18.0,50.0,aware1,0.9016731712536676,6.0,23.0
-4.0,18.0,40.0,aware1,0.9016472303412233,6.0,23.0
-4.0,18.0,30.0,aware1,0.901520728795328,6.0,23.0
-4.0,20.0,50.0,aware1,0.9010334127399798,7.0,26.0
-4.0,20.0,40.0,aware1,0.9010027552980002,7.0,26.0
-2.0,18.0,50.0,aware1,0.9009246509768144,4.0,20.0
-2.0,18.0,40.0,aware1,0.9009094806467418,4.0,20.0
-2.0,18.0,30.0,aware1,0.9008415133442588,4.0,20.0
-4.0,20.0,30.0,aware1,0.9008333122145443,7.0,26.0
-2.0,20.0,50.0,aware1,0.9004815787843462,4.0,22.0
-2.0,20.0,40.0,aware1,0.9004653525148254,4.0,22.0
-2.0,20.0,30.0,aware1,0.9003746121182427,4.0,22.0
-4.0,16.0,50.0,aware1,0.8986776118310271,5.0,20.0
-4.0,16.0,40.0,aware1,0.8986502629993186,5.0,20.0
-4.0,16.0,30.0,aware1,0.8985483648425665,5.0,20.0
0.0,20.0,50.0,aware1,0.898376105920582,2.0,18.0
0.0,20.0,40.0,aware1,0.89836751761307,2.0,18.0
0.0,20.0,30.0,aware1,0.8983268287463324,2.0,18.0
0.0,18.0,50.0,aware1,0.8982397489398368,2.0,17.0
0.0,18.0,40.0,aware1,0.8982330613233315,2.0,17.0
0.0,18.0,30.0,aware1,0.8981956458688833,2.0,17.0
-2.0,16.0,50.0,aware1,0.8971695895070593,3.0,17.0
-2.0,16.0,40.0,aware1,0.8971514625465318,3.0,17.0
-2.0,16.0,30.0,aware1,0.8970904292464253,3.0,17.0
0.0,16.0,50.0,aware1,0.895642173095226,1.0,14.0
0.0,16.0,40.0,aware1,0.8956353798847759,1.0,14.0
0.0,16.0,30.0,aware1,0.8955950429978543,1.0,14.0
-4.0,14.0,50.0,aware1,0.8951219469270754,3.0,15.0
-4.0,14.0,40.0,aware1,0.8951031512048973,3.0,15.0
-4.0,14.0,30.0,aware1,0.8950174441196844,3.0,15.0
-6.0,18.0,50.0,aware1,0.8942543518784459,10.0,28.0
-6.0,18.0,40.0,aware1,0.8942127830621681,10.0,28.0
-6.0,18.0,30.0,aware1,0.8939679107041286,10.0,28.0
-6.0,20.0,50.0,aware1,0.8938237749694482,12.0,31.0
-6.0,20.0,40.0,aware1,0.8937796015025314,12.0,31.0
-6.0,20.0,30.0,aware1,0.893465776298524,12.0,31.0
2.0,20.0,50.0,aware1,0.8933710937280013,1.0,15.0
2.0,20.0,40.0,aware1,0.8933679963056198,1.0,15.0
2.0,20.0,30.0,aware1,0.8933458567751891,1.0,15.0
2.0,18.0,50.0,aware1,0.8919507847741979,1.0,14.0
2.0,18.0,40.0,aware1,0.8919484617074118,1.0,14.0
2.0,18.0,30.0,aware1,0.8919267093547788,1.0,14.0
-2.0,14.0,50.0,aware1,0.8906031948503945,2.0,13.0
-2.0,14.0,40.0,aware1,0.8905928114458205,2.0,13.0
-2.0,14.0,30.0,aware1,0.8905287511192959,2.0,13.0
-6.0,16.0,50.0,aware1,0.8901933143545816,8.0,23.0
-6.0,16.0,40.0,aware1,0.8901562156819679,8.0,23.0
-6.0,16.0,30.0,aware1,0.8899371434444463,8.0,23.0
-6.0,14.0,50.0,aware1,0.8884354919551494,5.0,18.0
-6.0,14.0,40.0,aware1,0.8884041657515191,5.0,18.0
-6.0,14.0,30.0,aware1,0.8882297245546751,5.0,18.0
0.0,14.0,50.0,aware1,0.8879069590633395,1.0,11.0
0.0,14.0,40.0,aware1,0.8879036504530684,1.0,11.0
0.0,14.0,30.0,aware1,0.8878729226151255,1.0,11.0
2.0,16.0,50.0,aware1,0.887225807723282,0.0,12.0
2.0,16.0,40.0,aware1,0.8872230974786982,0.0,12.0
2.0,16.0,30.0,aware1,0.887200183592672,0.0,12.0
2.0,20.0,50.0,plain,0.8864067506912884,1.0,16.0
2.0,20.0,40.0,plain,0.8864030549032196,1.0,16.0
2.0,20.0,30.0,plain,0.886378486712058,1.0,16.0
0.0,20.0,50.0,plain,0.8854017427224653,4.0,20.0
0.0,20.0,40.0,plain,0.8853910425360568,4.0,20.0
0.0,20.0,30.0,plain,0.8853379991777751,4.0,20.0
4.0,20.0,50.0,aware1,0.8844876863381146,0.0,12.0
4.0,20.0,40.0,aware1,0.8844863840127952,0.0,12.0
4.0,20.0,30.0,aware1,0.8844748038768465,0.0,12.0
0.0,18.0,50.0,plain,0.8842130012896541,3.0,18.0
0.0,18.0,40.0,plain,0.8842038498144362,3.0,18.0
0.0,18.0,30.0,plain,0.8841538686805543,3.0,18.0
2.0,18.0,50.0,plain,0.8841047674962127,1.0,15.0
2.0,18.0,40.0,plain,0.8841017052718129,1.0,15.0
2.0,18.0,30.0,plain,0.8840777706443201,1.0,15.0
-4.0,12.0,50.0,aware1,0.8830264421317024,1.0,11.0
-4.0,12.0,40.0,aware1,0.8830078223994323,1.0,11.0
-4.0,12.0,30.0,aware1,0.882938447177685,1.0,11.0
4.0,18.0,50.0,aware1,0.8825376125631452,0.0,11.0
4.0,18.0,40.0,aware1,0.8825366270196602,0.0,11.0
4.0,18.0,30.0,aware1,0.8825269475747183,0.0,11.0
0.0,16.0,50.0,plain,0.8821789451305704,3.0,16.0
0.0,16.0,40.0,plain,0.8821708495948009,3.0,16.0
0.0,16.0,30.0,plain,0.8821217484104592,3.0,16.0
4.0,20.0,50.0,plain,0.8817935976279376,0.0,13.0
4.0,20.0,40.0,plain,0.8817920841147285,0.0,13.0
-2.0,20.0,50.0,plain,0.8817827918475843,7.0,24.0
4.0,20.0,30.0,plain,0.8817794480393316,0.0,13.0
-2.0,20.0,40.0,plain,0.8817580828644962,7.0,24.0
-2.0,20.0,30.0,plain,0.8816449213536299,7.0,24.0
-6.0,12.0,50.0,aware1,0.8814158528893319,3.0,13.0
-6.0,12.0,40.0,aware1,0.8813853010412971,3.0,13.0
-2.0,18.0,50.0,plain,0.8812985732146176,6.0,22.0
-2.0,18.0,40.0,plain,0.8812761521003339,6.0,22.0
-6.0,12.0,30.0,aware1,0.8812501055939448,3.0,13.0
