predID,id,contig_id,island_index,island_size,variant,n_flank,c_flank,seed,rep,dldesign,antigen,af3_dir,native_status,overall_rmsd,epitope_chunk_rmsd,mean_pae,epitope_pae,scaffold_pae,ptm,ranking_score,fraction_disordered,has_clash_af3,chain_pair_pae_min,af3_n_clash_res,af3_has_clash,af3_clash_status,cylinder_ca_clashes,cylinder_native_aware,native_in_cylinder,af3_window_start,status,score_af3_n_clash_res,score_epitope_chunk_rmsd,score_overall_rmsd,score_epitope_pae,composite,pass_indicator,rank_in_group
2qqn_0P__contig31__seed0__rep0_2qqn_0P__contig31__seed0__rep0_0_model_2_fixed_dldesign_5,2qqn_0P,31,,,,,,0,0,5,2qqn_0P,/scratch/bneff/episcaf/runs/whole_epitope_rfd3/04_af3/outputs/2qqn_0p__contig31__seed0__rep0_2qqn_0p__contig31__seed0__rep0_0_model_2_fixed_dldesign_5,ok,1.3785727597804498,1.4750341741451658,6.642586483174663,9.890625,4.689602325274144,0.7,0.7,0.0,0.0,0.76,0,False,ok,14,12,4,0,ok,0.9525741268224334,0.13009300379081937,0.9231338725777762,0.00014069857687848584,0.6458224524093324,9.144763143745204e-12,1
2qqn_0P__contig9__seed0__rep0_2qqn_0P__contig9__seed0__rep0_0_model_4_fixed_dldesign_4,2qqn_0P,9,,,,,,0,0,4,2qqn_0P,/scratch/bneff/episcaf/runs/whole_epitope_rfd3/04_af3/outputs/2qqn_0p__contig9__seed0__rep0_2qqn_0p__contig9__seed0__rep0_0_model_4_fixed_dldesign_4,ok,1.6258072544979718,2.6306038391935624,6.982232067112829,10.508203125,4.7374950455806575,0.68,0.68,0.0,0.0,0.76,0,False,ok,16,12,14,0,ok,0.9525741268224334,0.0014679558984402113,0.817092385673855,6.70608049845234e-05,0.5924505292599745,1.4644145169293033e-19,2
2qqn_0P__contig12__seed0__rep0_2qqn_0P__contig12__seed0__rep0_0_model_6_fixed_dldesign_0,2qqn_0P,12,,,,,,0,0,0,2qqn_0P,/scratch/bneff/episcaf/runs/whole_epitope_rfd3/04_af3/outputs/2qqn_0p__contig12__seed0__rep0_2qqn_0p__contig12__seed0__rep0_0_model_6_fixed_dldesign_0,ok,1.6043756514617085,3.146946156406654,5.508530492977661,7.208203125,4.094609591755846,0.74,0.74,0.0,0.0,0.76,1,True,ok,10,9,7,0,ok,0.9241418199787566,0.0001863337799205434,0.8295579191558538,0.003505733028170466,0.5821725595694086,3.5426676398021556e-17,3
2qqn_0P__contig9__seed0__rep0_2qqn_0P__contig9__seed0__rep0_0_model_4_fixed_dldesign_6,2qqn_0P,9,,,,,,0,0,6,2qqn_0P,/scratch/bneff/episcaf/runs/whole_epitope_rfd3/04_af3/outputs/2qqn_0p__contig9__seed0__rep0_2qqn_0p__contig9__seed0__rep0_0_model_4_fixed_dldesign_6,ok,1.7730918033139604,2.9264609507335204,5.894410406258837,10.2875,3.528973444312326,0.75,0.75,0.0,0.0,0.76,0,False,ok,6,3,23,0,ok,0.9525741268224334,0.0004499860884215175,0.7125155135586996,8.73936967458878e-05,0.5712826956736187,1.863032746874676e-15,4
2qqn_0P__contig9__seed0__rep0_2qqn_0P__contig9__seed0__rep0_0_model_4_fixed_dldesign_1,2qqn_0P,9,,,,,,0,0,1,2qqn_0P,/scratch/bneff/episcaf/runs/whole_epitope_rfd3/04_af3/outputs/2qqn_0p__contig9__seed0__rep0_2qqn_0p__contig9__seed0__rep0_0_model_4_fixed_dldesign_1,ok,1.8999202338839205,3.4471877455159867,6.246573663870298,10.1859375,4.030162504954419,0.73,0.73,0.0,0.0,0.76,0,False,ok,6,4,11,0,ok,0.9525741268224334,5.607575242889286e-05,0.5987643163642073,9.87199282311619e-05,0.5484351112738668,4.310388163056221e-20,5
2qqn_0P__contig30__seed0__rep0_2qqn_0P__contig30__seed0__rep0_0_model_0_fixed_dldesign_6,2qqn_0P,30,,,,,,0,0,6,2qqn_0P,/scratch/bneff/episcaf/runs/whole_epitope_rfd3/04_af3/outputs/2qqn_0p__contig30__seed0__rep0_2qqn_0p__contig30__seed0__rep0_0_model_0_fixed_dldesign_6,ok,2.023912303169104,3.2489510444218155,10.770289376944104,11.274609375,8.993063812921125,0.52,0.52,0.0,0.0,0.76,0,False,ok,10,8,6,0,ok,0.9525741268224334,0.00012391334110838898,0.47610591085139825,2.673443869835172e-05,0.5239131910195216,6.8958515598672835e-43,6
2qqn_0P__contig13__seed0__rep0_2qqn_0P__contig13__seed0__rep0_0_model_2_fixed_dldesign_5,2qqn_0P,13,,,,,,0,0,5,2qqn_0P,/scratch/bneff/episcaf/runs/whole_epitope_rfd3/04_af3/outputs/2qqn_0p__contig13__seed0__rep0_2qqn_0p__contig13__seed0__rep0_0_model_2_fixed_dldesign_5,ok,2.0309095667108843,2.990683000971723,5.570006598171363,8.98203125,3.76792178623332,0.74,0.74,0.0,0.0,0.76,0,False,ok,10,7,10,0,ok,0.9525741268224334,0.0003480793302046002,0.46912974791309797,0.00041849062144545276,0.5226131755474471,1.837979485560678e-14,7
2qqn_0P__contig13__seed0__rep0_2qqn_0P__contig13__seed0__rep0_0_model_2_fixed_dldesign_7,2qqn_0P,13,,,,,,0,0,7,2qqn_0P,/scratch/bneff/episcaf/runs/whole_epitope_rfd3/04_af3/outputs/2qqn_0p__contig13__seed0__rep0_2qqn_0p__contig13__seed0__rep0_0_model_2_fixed_dldesign_7,ok,2.0659806155874367,3.660400508628728,6.31198039400509,9.003125,4.483102127097371,0.72,0.72,0.0,0.0,0.76,0,False,ok,4,3,6,0,ok,0.9525741268224334,2.3900147321941235e-05,0.43439972570745833,0.0004080347898077587,0.5155850807273978,6.174313820266886e-22,8
2qqn_0P__contig7__seed0__rep0_2qqn_0P__contig7__seed0__rep0_0_model_4_fixed_dldesign_6,2qqn_0P,7,,,,,,0,0,6,2qqn_0P,/scratch/bneff/episcaf/runs/whole_epitope_rfd3/04_af3/outputs/2qqn_0p__contig7__seed0__rep0_2qqn_0p__contig7__seed0__rep0_0_model_4_fixed_dldesign_6,ok,2.132792368363855,3.094563275560488,9.190856819681402,9.689062500000002,7.925895098427796,0.58,0.58,0.0,0.0,0.76,0,False,ok,30,25,41,0,ok,0.9525741268224334,0.00022975825043332847,0.3702441682442607,0.0001791917300457181,0.50278254945456,2.9502023386189817e-34,9
2qqn_0P__contig30__seed0__rep0_2qqn_0P__contig30__seed0__rep0_0_model_0_fixed_dldesign_2,2qqn_0P,30,,,,,,0,0,2,2qqn_0P,/scratch/bneff/episcaf/runs/whole_epitope_rfd3/04_af3/outputs/2qqn_0p__contig30__seed0__rep0_2qqn_0p__contig30__seed0__rep0_0_model_0_fixed_dldesign_2,ok,1.984092164139992,3.170514252119776,6.815326609482515,8.0296875,5.2907253269916765,0.69,0.69,0.0,0.0,0.76,2,True,ok,9,9,3,0,ok,0.8807970779778823,0.0001695730762160576,0.5159024705325499,0.001311036940697311,0.4997126761596808,1.4086460709776332e-29,10
2qqn_0P__contig30__seed0__rep0_2qqn_0P__contig30__seed0__rep0_0_model_1_fixed_dldesign_4,2qqn_0P,30,,,,,,0,0,4,2qqn_0P,/scratch/bneff/episcaf/runs/whole_epitope_rfd3/04_af3/outputs/2qqn_0p__contig30__seed0__rep0_2qqn_0p__contig30__seed0__rep0_0_model_1_fixed_dldesign_4,ok,2.203001150094277,2.420281331636469,7.12756150438307,7.952734375,5.869229752939622,0.67,0.67,0.0,0.0,0.76,0,False,ok,8,6,12,0,ok,0.9525741268224334,0.003398132558099302,0.30746349209228996,0.0014376866200391655,0.4911443572900818,2.5992126061854916e-20,11
